"participant","condition","block","trial_n","rt","accuracy"
558,2,2,6,432,1
558,2,2,7,429,1
558,2,2,8,2595,0
558,2,2,9,503,1
558,2,2,10,405,1
558,2,2,11,1003,0
558,2,2,12,666,1
558,2,2,13,463,1
558,2,2,14,483,1
558,2,2,15,448,1
558,2,2,16,477,1
558,2,2,17,464,1
558,2,2,18,467,1
558,2,2,19,447,1
558,2,2,20,531,1
558,2,2,21,500,1
558,2,2,22,474,1
558,2,2,23,502,1
558,2,2,24,520,1
558,2,2,25,578,1
558,2,2,26,546,1
558,2,2,27,442,1
558,2,2,28,458,1
558,2,2,29,502,1
558,2,2,30,545,1
558,2,2,31,480,1
558,2,2,32,507,1
558,2,2,33,487,1
558,2,2,34,684,1
558,2,2,35,512,1
558,2,2,36,818,1
558,2,2,37,552,1
558,2,2,38,553,1
558,2,2,39,549,1
558,2,2,40,493,1
563,1,1,1,677,1
563,1,1,2,502,1
563,1,1,3,517,1
563,1,1,4,468,1
563,1,1,5,540,1
563,1,1,6,438,1
563,1,1,7,487,1
563,1,1,8,1116,0
563,1,1,9,642,1
563,1,1,10,545,1
563,1,1,11,446,1
563,1,1,12,476,1
563,1,1,13,473,1
563,1,1,14,402,1
563,1,1,15,901,0
563,1,1,16,563,1
563,1,1,17,525,1
563,1,1,18,527,1
563,1,1,19,486,1
563,1,1,20,538,1
563,1,1,21,476,1
563,1,1,22,441,1
563,1,1,23,395,1
563,1,1,24,607,1
563,1,1,25,606,1
563,1,1,26,949,0
563,1,1,27,622,1
563,1,1,28,493,1
563,1,1,29,377,1
563,1,1,30,465,1
563,1,1,31,343,1
563,1,1,32,492,1
563,1,1,33,584,1
563,1,1,34,435,1
563,1,1,35,502,1
563,1,1,36,561,1
563,1,1,37,478,1
563,1,1,38,499,1
563,1,1,39,531,1
563,1,1,40,505,1
563,1,2,1,862,1
563,1,2,2,764,1
563,1,2,3,869,1
563,1,2,4,606,1
563,1,2,5,537,1
563,1,2,6,659,1
563,1,2,7,641,1
563,1,2,8,799,1
563,1,2,9,558,1
563,1,2,10,680,1
563,1,2,11,636,1
563,1,2,12,1307,0
563,1,2,13,761,1
563,1,2,14,730,1
563,1,2,15,641,1
563,1,2,16,583,1
563,1,2,17,539,1
563,1,2,18,517,1
563,1,2,19,676,1
563,1,2,20,455,1
563,1,2,21,777,1
563,1,2,22,393,1
563,1,2,23,481,1
563,1,2,24,706,1
563,1,2,25,578,1
563,1,2,26,1066,0
563,1,2,27,758,1
563,1,2,28,459,1
563,1,2,29,897,0
563,1,2,30,568,1
563,1,2,31,573,1
563,1,2,32,834,1
563,1,2,33,532,1
563,1,2,34,546,1
563,1,2,35,932,0
563,1,2,36,778,1
563,1,2,37,907,1
563,1,2,38,710,1
563,1,2,39,629,1
563,1,2,40,615,1
559,1,1,1,472,1
559,1,1,2,585,1
559,1,1,3,901,0
559,1,1,4,492,1
559,1,1,5,436,1
559,1,1,6,414,1
559,1,1,7,433,1
559,1,1,8,444,1
559,1,1,9,879,0
559,1,1,10,471,1
559,1,1,11,456,1
559,1,1,12,489,1
559,1,1,13,441,1
559,1,1,14,502,1
559,1,1,15,875,0
559,1,1,16,555,1
559,1,1,17,617,1
559,1,1,18,460,1
559,1,1,19,414,1
559,1,1,20,449,1
559,1,1,21,451,1
559,1,1,22,468,1
559,1,1,23,405,1
559,1,1,24,545,1
559,1,1,25,879,0
559,1,1,26,399,1
559,1,1,27,387,1
559,1,1,28,703,0
559,1,1,29,462,1
559,1,1,30,495,1
559,1,1,31,920,0
559,1,1,32,462,1
559,1,1,33,488,1
559,1,1,34,472,1
559,1,1,35,425,1
559,1,1,36,659,1
559,1,1,37,397,1
559,1,1,38,401,1
559,1,1,39,717,0
559,1,1,40,315,1
559,1,2,1,585,1
559,1,2,2,629,1
559,1,2,3,464,1
559,1,2,4,665,1
559,1,2,5,914,0
559,1,2,6,401,1
559,1,2,7,413,1
559,1,2,8,664,1
559,1,2,9,530,1
559,1,2,10,457,1
559,1,2,11,634,1
559,1,2,12,596,1
559,1,2,13,521,1
559,1,2,14,456,1
559,1,2,15,633,0
559,1,2,16,539,1
559,1,2,17,785,0
559,1,2,18,485,1
559,1,2,19,725,0
